NOME;Id;MARCA;VERTICAL;ESTOQUE;Obs;Unid.Vend
PRE35 PRISMA (preto);8670;PRIMARE;AUDIO PROFISSIONAL;10.0;11/09/24 - ESTOQUE OK;Peça
A35.2 (preto);8752;PRIMARE;AUDIO PROFISSIONAL;2.0;"25/10/2024 ESTOQUE OK 

01 UNIDADE SHOWROOM SANTA MONICA ";Peça
A35.2 (titan);8753;PRIMARE;AUDIO PROFISSIONAL;1.0;08/04/25 - ESTOQUE OK;Peça
A35.8 (titan);8807;PRIMARE;AUDIO PROFISSIONAL;1.0;05/09/24 - ESTOQUE OK;Peça
A35.8 (preto);8806;PRIMARE;AUDIO PROFISSIONAL;2.0;05/09/24 - ESTOQUE OK;Peça
I35 PRISMA DM36 (titan);8763;PRIMARE;AUDIO PROFISSIONAL;0.0;"IPI 6,50%
05/09/24 - ESTOQUE OK";Peça
I35 PRISMA DM36 (preto);8762;PRIMARE;AUDIO PROFISSIONAL;1.0;"IPI 6,25%
23/04/25 - ESTOQUE OK
";Peça
SP25 PRISMA (titan);8809;PRIMARE;AUDIO PROFISSIONAL;2.0;"IPI 6,50%
05/09/24 - ESTOQUE OK";Peça
SP25 PRISMA (preto);8808;PRIMARE;AUDIO PROFISSIONAL;2.0;"IPI 6,50%
05/09/24 - ESTOQUE OK - FALTA 1 PEÇA TEM QUE PROCURAR
";Peça
SPA25 PRISMA (titan);8758;PRIMARE;AUDIO PROFISSIONAL;1.0;"IPI 6,50%
20/01/25 - ESTOQUE OK";Peça
SPA25 PRISMA (preto);8757;PRIMARE;AUDIO PROFISSIONAL;3.0;"IPI 6,50%
05/09/24 - ESTOQUE OK
";Peça
CD35 PRISMA (titan);8756;PRIMARE;AUDIO PROFISSIONAL;2.0;"IPI 16,25%
05/09/24 - ESTOQUE OK";Peça
CD35 PRISMA (preto);8755;PRIMARE;AUDIO PROFISSIONAL;2.0;03/09/2024 - estoque ok;Peça
DD35 preto;8754;PRIMARE;AUDIO PROFISSIONAL;1.0;03/09/24 - 01 ESTA NA ASSISTENCIA;Peça
